-87380832335	87380832800	465	1
-3501868669	3501871369	2700	2
-74784932181	74784936651	4470	3
-26267291665	26267300698	9033	4
-53547692278	53547695071	2793	5
-85094039881	85094031218	-8663	6
-81303904570	81303910250	5680	7
-59068982750	59068973715	-9035	8
-7715905322	7715904855	-467	9
-68438574285	68438578661	4376	10
-34244591340	34244587148	-4192	11
-32729774869	32729766952	-7917	12
-31011409001	31011411049	2048	13
-75748243265	75748243078	-187	14
-85490997874	85490995079	-2795	15
-72785077604	72785084775	7171	16
-8456878322	8456876272	-2050	17
-66070099812	66070102698	2886	18
-92734520041	92734524418	4377	19
-55798127110	55798134745	7635	20
-19762469698	19762468393	-1305	21
-69055247665	69055242170	-5495	22
-98799045477	98799042030	-3447	23
-69424839583	69424844239	4656	24
-37354089664	37354098417	8753	25
-61777672434	61777679883	7449	26
-47443084954	47443077595	-7359	27
-56042432858	56042437421	4563	28
-34476776670	34476774621	-2049	29
-83117800944	83117794051	-6893	30
-83746992976	83746997073	4097	31
-75582750131	75582751806	1675	32
-57686906848	57686900886	-5962	33
-57686906848	57686915508	8660	34
-87465210160	87465213792	3632	35
-25159832335	25159840064	7729	36
-41079739827	41079733586	-6241	37
-28042830401	28042827792	-2609	38
-79862863841	79862864864	1023	39
-21152249967	21152253505	3538	40
-86353037035	86353027627	-9408	41
-5672240028	5672235277	-4751	42
-28150664609	28150668148	3539	43
-22740269696	22740264852	-4844	44
-82294339399	82294346104	6705	45
-85272427642	85272433229	5587	46
-23098197730	23098200989	3259	47
-99054697435	99054701253	3818	48
-23857603094	23857608774	5680	48
-24240167963	24240165168	-2795	48
-22943678835	22943678369	-466	49
-97367707174	97367705310	-1864	50
-97367707174	97367712109	4935	51
-91324198429	91324190698	-7731	52
-92896140830	92896134496	-6334	53
-21214378775	21214377657	-1118	54
-31935879091	31935877973	-1118	54
-75467192278	75467182777	-9501	55
-92636480738	92636479247	-1491	56
-73290447972	73290441265	-6707	57
-95858388393	95858387553	-840	58
-12215222005	12215216230	-5775	59
-71150746929	71150747580	651	60
-71355174469	71355169625	-4844	60
-52950963263	52950955439	-7824	61
-90234837491	90234838887	1396	62
-39555044724	39555045934	1210	63
-49113505962	49113501398	-4564	64
-7456021993	7456017428	-4565	65
-81737154062	81737158625	4563	65
-22597831918	22597841882	9964	66
-57040522321	57040529026	6705	66
-42563803375	42563809707	6332	67
-77156717041	77156726539	9498	68
-19892767966	19892772622	4656	68
-84875029505	84875035372	5867	69
-33912757009	33912750023	-6986	70
-96911226119	96911231054	4935	70
-67729436871	67729431468	-5403	71
-60076549817	60076559782	9965	72
-2253379069	2253383631	4562	73
-77914589261	77914597921	8660	73
-49344791635	49344784929	-6706	74
-63822762745	63822771778	9033	74
-96202422305	96202418020	-4285	75
-72266526880	72266530046	3166	76
-78143072305	78143081151	8846	77
-11544433195	11544434033	838	78
-76155208227	76155210368	2141	79
-10675668023	10675659082	-8941	80
-87586682936	87586684146	1210	80
-94299923533	94299930331	6798	81
-38526705624	38526709162	3538	81
